bet-id,status,event-id,event-name,market-id,market-name,runner-id,runner-name,sport-id,sport-name,odds,stake,profit,time-placed,reports-currentscores
6682,"finished",27651,"FC Inter Turku vs FF Jaro",333126,"Total Goals (3.0)",681695,"OVER (+3.00)",15,"Soccer",-124,12,9.76,"11/05/2015 17:45","2 - 0",
145,"finished",15120,"FC Porto vs Benfica",221311,"Match Odds",460121,"Porto",15,"Soccer",-127,14.96,11.78,"08/05/2014 13:19",
147,"finished",15120,"FC Porto vs Benfica",221316,"Total Goals (2.5)",460130,"OVER (+2.50)",15,"Soccer",-107,12.93,12.08,"08/05/2014 13:24",
7202,"finished",28472,"Giravanz Kitakyushu vs Roasso Kumamoto",337909,"Match Result",691479,"DRAW",15,"Soccer",215,50,107.5,"11/06/2015 16:22",
6578,"finished",27431,"Guangzhou Evergrande vs Western Sydney Wanderers",331949,"Handicap (0.0)",679308,"Guangzhou Evergrande (0.0)",15,"Soccer",-228,22,9.68,"05/05/2015 13:49","0 - 1",
129,"finished",15105,"Hearts vs Partick Thistle",220710,"Match Result",458764,"Hearts",15,"Soccer",158,2.97,4.69,"07/05/2014 14:04",
6260,"finished",26591,"Ironi Nir Ramat HaSharon vs Hapoel Ironi Rishon LeZion",327086,"Handicap (-0.25)",670274,"Ironi Nir Ramat HaSharon (-0.25)",15,"Soccer",103,14.98,15.46,"20/04/2015 14:55",
6568,"finished",27241,"Ironi Nir Ramat HaSharon vs Hapoel Jerusalem",331616,"Handicap (-0.25)",678635,"Ironi Nir Ramat HaSharon (-0.25)",15,"Soccer",103,249.99,257.99,"04/05/2015 10:33",
6721,"finished",27702,"Istanbul Basaksehir FK vs Sivasspor",333505,"Handicap (-1.0)",682491,"Sivasspor (+1.00)",15,"Soccer",-113,23,20.47,"12/05/2015 11:29",
7240,"finished",28832,"JäPS vs FC Vaajakoski",339421,"Handicap (-0.25)",694640,"FC Vaajakoski (+0.25)",15,"Soccer",-121,358.45,296.24,"24/06/2015 13:06",
